Time,root.group_9.1701.ZT1
1546352758160,0
1546352760153,0
1546352762162,0
1546352764154,0
1546352766152,0
1546352768162,0
1546352770155,0
1546352772158,0
1546352774160,0
1546352776153,0
1546352778170,0
1546352780160,0
1546352782155,0
1546352784158,0
1546352786160,0
1546352788158,0
1546352790155,0
1546352792161,0
1546352794163,0
1546352796157,0
1546352798160,0
1546352800158,0
1546352802170,0
1546352804161,0
1546352806153,0
1546352808155,0
1546352810153,0
1546352812156,0
1546352814162,0
1546352816162,0
1546352818152,0
1546352820157,0
1546352822152,0
1546352824153,0
1546352826170,0
1546352828160,1
1546352830155,0
1546352832153,0
1546352834160,0
1546352836156,0
1546352838155,0
1546352840161,0
1546352842158,0
1546352844157,0
1546352846153,0
1546352848160,1
1546352850170,1
1546352852162,1
1546352854152,1
1546352856155,1
1546352858159,1
1546352860155,1
1546352862158,1
1546352864161,1
1546352866153,1
1546352868157,1
1546352870160,1
1546352872154,1
1546352874165,1
1546352876165,1
1546352878158,1
1546352880158,1
1546352882160,1
1546352884157,1
1546352886155,1
1546352888160,1
1546352890167,1
1546352892152,1
1546352894160,1
1546352896156,1
1546352898172,1
1546352900160,1
1546352902159,1
1546352904155,1
1546352906162,1
1546352908157,1
1546352910161,1
1546352912161,1
1546352914153,1
1546352916162,1
1546352918160,1
1546352920154,1
1546352922171,1
1546352924160,1
1546352926153,1
1546352928157,1
1546352930160,1
1546352932160,1
1546352934155,1
1546352936162,1
1546352938162,1
1546352940157,1
1546352942162,1
1546352944160,1
1546352946171,1
1546352948163,1
1546352950159,1
1546352952155,1
1546352954162,1
1546352956157,1
1546352958159,1
1546352960161,1
1546352962153,1
1546352964160,1
1546352966161,1
1546352968155,1
1546352970173,1
1546352972161,1
1546352974153,1
1546352976155,1
1546352978160,1
1546352980162,1
1546352982155,1
1546352984161,1
1546352986156,1
1546352988157,1
1546352990162,1
1546352990671,1
1546352992159,1
1546352994170,1
1546352996161,1
1546352998154,1
1546353000157,1
1546353002161,1
1546353004152,1
1546353006156,0
1546353008160,0
1546353010157,0
1546353012155,0
1546353014160,0
1546353016157,0
1546353018167,0
1546353020160,0
1546353022161,0
1546353024156,0
1546353026161,0
1546353028159,0
1546353030158,0
1546353032154,0
1546353034153,0
1546353036155,0
1546353038161,0
1546353040153,0
1546353042170,0
1546353044152,0
1546353046152,0
1546353048155,0
1546353050160,0
1546353052153,0
1546353054156,0
1546353056160,0
1546353058152,0
1546353060158,0
1546353062152,0
1546353064158,0
1546353066165,0
1546353068161,0
1546353070159,0
1546353072158,0
1546353074154,0
1546353076155,0
1546353078153,0
1546353080161,0
1546353082160,0
1546353084155,0
1546353086163,0
1546353088155,0
1546353090171,0
1546353092164,0
1546353094160,0
1546353096155,0
1546353098160,0
1546353100153,0
1546353102156,0
1546353104160,0
1546353106152,0
1546353108155,0
1546353110160,0
1546353112159,0
1546353114167,0
1546353116160,0
1546353118153,0
1546353120153,0
1546353122163,0
1546353124156,0
1546353126155,0
1546353128162,0
1546353130159,0
1546353132160,0
1546353134162,0
1546353136156,0
1546353138171,0
1546353140160,0
1546353142153,0
1546353144155,0
1546353146160,0
1546353148155,0
1546353150152,0
1546353152161,0
1546353154157,0
1546353156158,0
1546353158162,0
1546353160160,0
1546353162165,0
1546353164161,0
1546353166161,0
1546353168155,0
1546353170160,0
1546353172155,0
1546353174157,0
1546353176161,0
1546353178159,0
1546353180160,0
1546353182160,0
1546353184161,0
1546353186171,0
1546353188162,0
1546353190155,0
1546353192157,0
1546353194160,0
1546353196162,0
1546353198159,0
1546353200160,0
1546353202159,0
1546353204157,0
1546353206163,0
1546353208153,0
1546353210165,0
1546353212162,0
1546353214159,0
1546353216155,0
1546353218160,0
1546353220159,0
1546353222156,0
1546353224160,0
1546353226153,0
1546353228159,0
1546353230160,0
1546353232156,0
1546353234172,0
1546353236161,0
1546353238153,0
1546353240155,0
1546353242153,0
1546353244157,0
1546353246156,0
1546353248161,0
1546353250160,0
1546353252155,0
1546353254161,0
1546353256162,0
1546353258170,0
1546353260162,0
1546353262152,0
1546353264155,0
1546353266164,0
1546353268160,0
1546353270155,0
1546353272169,0
1546353274161,0
1546353276156,0
1546353278160,0
1546353280155,0
1546353282174,0
1546353284152,0
1546353286155,0
1546353288152,0
1546353290160,0
1546353292162,0
1546353294155,0
1546353296161,0
1546353298162,0
1546353300153,0
1546353302162,0
1546353304161,0
1546353306170,0
1546353308162,0
1546353310158,0
1546353312153,0
1546353314162,0
1546353316156,0
1546353318159,0
1546353320162,0
1546353322155,0
1546353324159,0
1546353326163,0
1546353328153,0
